date,value,memo
2023-01-02,1272.6,첫 데이터
2023-01-03,1271.0,"전일대비 -1.60원(하락), 최근1일 평균(1272.6원) 대비 송금 유리"
2023-01-04,1271.7,"전일대비 +0.70원(상승), 최근2일 평균(1271.8원) 대비 송금 유리"
2023-01-05,1269.4,"전일대비 -2.30원(하락), 최근3일 평균(1271.8원) 대비 송금 유리"
2023-01-06,1268.6,"전일대비 -0.80원(하락), 최근4일 평균(1271.2원) 대비 송금 유리"
2023-01-09,1243.5,"전일대비 -25.10원(하락), 최근5일 평균(1270.7원) 대비 송금 유리"
2023-01-10,1244.7,"전일대비 +1.20원(상승), 최근6일 평균(1266.1원) 대비 송금 유리"
2023-01-11,1246.2,"전일대비 +1.50원(상승), 최근7일 평균(1263.1원) 대비 송금 유리"
2023-01-12,1245.8,"전일대비 -0.40원(하락), 최근8일 평균(1261.0원) 대비 송금 유리"
2023-01-13,1241.3,"전일대비 -4.50원(하락), 최근9일 평균(1259.3원) 대비 송금 유리"
2023-01-16,1235.3,"전일대비 -6.00원(하락), 최근10일 평균(1257.5원) 대비 송금 유리"
2023-01-17,1238.7,"전일대비 +3.40원(상승), 최근11일 평균(1255.5원) 대비 송금 유리"
2023-01-18,1237.4,"전일대비 -1.30원(하락), 최근12일 평균(1254.1원) 대비 송금 유리"
2023-01-19,1232.1,"전일대비 -5.30원(하락), 최근13일 평균(1252.8원) 대비 송금 유리"
2023-01-20,1235.5,"전일대비 +3.40원(상승), 최근14일 평균(1251.3원) 대비 송금 유리"
2023-01-25,1231.7,"전일대비 -3.80원(하락), 최근15일 평균(1250.3원) 대비 송금 유리"
2023-01-26,1230.7,"전일대비 -1.00원(하락), 최근16일 평균(1249.1원) 대비 송금 유리"
2023-01-27,1231.3,"전일대비 +0.60원(상승), 최근17일 평균(1248.0원) 대비 송금 유리"
2023-01-30,1227.4,"전일대비 -3.90원(하락), 최근18일 평균(1247.1원) 대비 송금 유리"
2023-01-31,1231.9,"전일대비 +4.50원(상승), 최근19일 평균(1246.0원) 대비 송금 유리"
2023-02-01,1231.3,"전일대비 -0.60원(하락), 최근20일 평균(1245.3원) 대비 송금 유리"
2023-02-02,1220.3,"전일대비 -11.00원(하락), 최근21일 평균(1244.7원) 대비 송금 유리"
2023-02-03,1229.4,"전일대비 +9.10원(상승), 최근22일 평균(1243.6원) 대비 송금 유리"
2023-02-06,1252.8,"전일대비 +23.40원(상승), 최근23일 평균(1242.9원) 대비 송금 불리"
2023-02-07,1255.3,"전일대비 +2.50원(상승), 최근24일 평균(1243.4원) 대비 송금 불리"
2023-02-08,1260.1,"전일대비 +4.80원(상승), 최근25일 평균(1243.8원) 대비 송금 불리"
2023-02-09,1260.4,"전일대비 +0.30원(상승), 최근26일 평균(1244.5원) 대비 송금 불리"
2023-02-10,1265.2,"전일대비 +4.80원(상승), 최근27일 평균(1245.1원) 대비 송금 불리"
